time,gro1,gro2,gro3,gro4,v1,v2,v3,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k6z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z,k21x,k21y,k21z,k22x,k22y,k22z,k23x,k23y,k23z,k24x,k24y,k24z,k25x,k25y,k25z,k26x,k26y,k26z,k27x,k27y,k27z,k28x,k28y,k28z,k29x,k29y,k29z,k30x,k30y,k30z,k31x,k31y,k31z,k32x,k32y,k32z,k33x,k33y,k33z
" 2022, 7, 4, 11, 12, 30, 982000",-0.00971,0.99776,-0.04258,0.05069,0.00000,0.00000,0.00000,-2.59662,0.79800,1.34598,-2.59387,0.61555,1.36173,-2.59111,0.43310,1.37747,-2.58828,0.25066,1.39325,-2.54274,0.25176,1.39785,-2.38597,0.25556,1.41365,-2.38978,0.49948,1.53797,-2.39386,0.73156,1.66218,-2.39467,0.77798,1.68702,-2.39630,0.87081,1.73670,-2.45848,0.82582,1.70713,-2.63382,0.24955,1.38866,-2.79059,0.24575,1.37285,-2.79261,0.51895,1.35491,-2.79475,0.78176,1.33954,-2.79518,0.83432,1.33646,-2.79604,0.93945,1.33031,-2.73275,0.88777,1.33977,-2.49716,0.80037,1.35602,-2.50100,1.24925,1.32458,-2.50626,1.64909,1.31462,-2.49543,1.74624,1.19279,-2.69609,0.79563,1.33595,-2.69994,1.24452,1.30451,-2.70519,1.64436,1.29456,-2.69436,1.74150,1.17272,-2.58244,0.11703,1.42452,-2.57937,0.02727,1.44240,-2.55331,0.00333,1.45844,-2.54497,0.05090,1.55511,-2.60358,-0.00265,1.43709,-2.68741,0.03397,1.49462,-2.51162,1.74999,1.35192,-2.71056,1.74525,1.33185
" 2022, 7, 4, 11, 12, 31, 82000",-0.06807,0.86230,0.02053,0.50137,2.69171,0.00057,-0.63807,-2.30340,0.77512,1.26437,-2.27813,0.59382,1.27039,-2.25286,0.41252,1.27641,-2.22748,0.23125,1.28259,-2.20514,0.23573,1.32231,-2.14192,0.24842,1.43471,-2.17941,0.48507,1.43508,-2.21813,0.71218,1.43703,-2.22587,0.75760,1.43742,-2.24136,0.84844,1.43820,-2.26138,0.79869,1.39018,-2.24981,0.22676,1.24288,-2.31303,0.21407,1.13047,-2.33489,0.45267,1.13223,-2.34626,0.68275,1.12841,-2.34854,0.72876,1.12765,-2.35309,0.82079,1.12612,-2.32351,0.77692,1.17492,-2.25460,0.78480,1.35112,-2.29285,1.23317,1.35244,-2.31634,1.63245,1.34762,-2.21810,1.73767,1.28700,-2.35220,0.76544,1.17763,-2.39045,1.21381,1.17895,-2.41394,1.61308,1.17412,-2.31570,1.71831,1.11351,-2.19683,0.09737,1.28483,-2.17718,0.00864,1.27353,-2.15921,-0.01845,1.29481,-2.22286,-0.01531,1.38208,-2.18335,-0.01750,1.24546,-2.29125,-0.01264,1.24226,-2.35692,1.73046,1.36622,-2.45452,1.71110,1.19272
" 2022, 7, 4, 11, 12, 31, 215000",-0.04008,0.79878,-0.00741,0.60024,2.34727,-0.00045,-0.49736,-2.09211,0.78781,1.25901,-2.08201,0.60527,1.26999,-2.07191,0.42273,1.28097,-2.06174,0.24020,1.29209,-2.04910,0.24358,1.33597,-2.02058,0.25119,1.43494,-1.99312,0.45338,1.42011,-1.96542,0.64758,1.40550,-1.95988,0.68643,1.40258,-1.94879,0.76411,1.39673,-1.96707,0.72366,1.35422,-2.07439,0.23682,1.24821,-2.10291,0.22921,1.14924,-2.09799,0.43357,1.14111,-2.09387,0.63009,1.13347,-2.09305,0.66939,1.13194,-2.09141,0.74800,1.12888,-2.07922,0.71019,1.17577,-2.06449,0.79510,1.35485,-2.08208,1.24425,1.33341,-2.09684,1.64351,1.31411,-1.98530,1.74596,1.27587,-2.11973,0.78052,1.16318,-2.13732,1.22966,1.14175,-2.15208,1.62892,1.12244,-2.04054,1.73138,1.08420,-2.03963,0.10512,1.30357,-2.02598,0.01457,1.30320,-2.01857,-0.01221,1.33036,-2.10649,0.00207,1.39155,-2.02519,-0.01299,1.27582,-2.12522,-0.00013,1.23702,-2.13893,1.74244,1.32042,-2.19417,1.72785,1.12875
" 2022, 7, 4, 11, 12, 31, 315000",-0.02906,0.79991,-0.00999,0.59932,2.01120,-0.00093,-0.29265,-1.97743,0.79630,1.29812,-1.97111,0.61350,1.30743,-1.96479,0.43069,1.31674,-1.95843,0.24789,1.32611,-1.94562,0.25059,1.36998,-1.91758,0.25648,1.46595,-1.90752,0.45407,1.43518,-1.89742,0.64402,1.40547,-1.89540,0.68201,1.39953,-1.89136,0.75799,1.38765,-1.90654,0.71384,1.34973,-1.97125,0.24520,1.28223,-1.99929,0.23931,1.18626,-1.96916,0.43721,1.19007,-1.94400,0.62803,1.19481,-1.93897,0.66619,1.19576,-1.92891,0.74251,1.19765,-1.92174,0.70164,1.24119,-1.94944,0.80215,1.39394,-1.96307,1.25152,1.37467,-1.97530,1.65097,1.35756,-1.86322,1.75291,1.31953,-2.00542,0.79045,1.20230,-2.01906,1.23983,1.18302,-2.03129,1.63928,1.16592,-1.91921,1.74122,1.12788,-1.93927,0.11261,1.34020,-1.92757,0.02186,1.34383,-1.92166,-0.00397,1.37225,-2.01123,0.01451,1.42980,-1.92647,-0.00677,1.31759,-2.02485,0.00656,1.27493,-2.01673,1.75014,1.36454,-2.07272,1.73844,1.17290
" 2022, 7, 4, 11, 12, 31, 398000",-0.02548,0.76337,-0.00422,0.64544,1.75821,-0.00082,-0.10898,-1.89362,0.81128,1.34977,-1.88750,0.62838,1.35697,-1.88137,0.44547,1.36418,-1.87522,0.26257,1.37146,-1.86764,0.26462,1.41657,-1.85124,0.26906,1.51420,-1.83737,0.46632,1.49437,-1.82399,0.65599,1.47530,-1.82131,0.69392,1.47149,-1.81596,0.76979,1.46386,-1.82649,0.72789,1.42267,-1.88280,0.26052,1.32636,-1.89920,0.25608,1.22873,-1.87304,0.45306,1.23150,-1.84993,0.64273,1.23449,-1.84531,0.68066,1.23509,-1.83606,0.75653,1.23629,-1.83356,0.71701,1.28097,-1.87707,0.81571,1.44829,-1.88982,1.26532,1.43458,-1.89848,1.66503,1.42194,-1.78234,1.76689,1.39881,-1.91018,0.80685,1.25125,-1.92292,1.25646,1.23754,-1.93159,1.65616,1.22490,-1.81544,1.75802,1.20177,-1.85676,0.12703,1.38396,-1.84459,0.03633,1.38746,-1.84123,0.01014,1.41596,-1.93617,0.02703,1.46474,-1.84066,0.00811,1.36105,-1.93454,0.02126,1.30918,-1.94009,1.76431,1.42543,-1.97319,1.75544,1.22839
" 2022, 7, 4, 11, 12, 31, 482000",-0.03185,0.75296,-0.00556,0.65727,1.56508,-0.00138,0.04400,-1.83487,0.81838,1.40090,-1.82742,0.63562,1.41010,-1.81998,0.45285,1.41931,-1.81250,0.27009,1.42861,-1.80637,0.27265,1.47392,-1.79315,0.27816,1.57159,-1.78094,0.47487,1.55200,-1.76902,0.66401,1.53314,-1.76663,0.70183,1.52937,-1.76186,0.77748,1.52183,-1.77057,0.73556,1.48052,-1.81863,0.26753,1.38331,-1.83186,0.26202,1.28564,-1.81284,0.45889,1.27529,-1.79619,0.64836,1.26555,-1.79286,0.68625,1.26361,-1.78620,0.76203,1.25971,-1.78348,0.72594,1.30693,-1.82147,0.82391,1.49984,-1.83598,1.27336,1.48293,-1.84611,1.67293,1.46751,-1.72977,1.77521,1.44742,-1.84826,0.81285,1.30196,-1.86277,1.26230,1.28504,-1.87290,1.66187,1.26963,-1.75656,1.76415,1.24954,-1.79280,0.13478,1.44168,-1.78008,0.04422,1.44654,-1.77683,0.01845,1.47543,-1.87236,0.03536,1.52302,-1.77569,0.01566,1.42057,-1.86912,0.02747,1.36758,-1.88827,1.77203,1.46907,-1.91506,1.76097,1.27119
" 2022, 7, 4, 11, 12, 31, 582000",-0.04310,0.75923,-0.01145,0.64928,1.41718,-0.00122,0.15740,-1.76665,0.81944,1.45253,-1.75739,0.63702,1.46596,-1.74812,0.45459,1.47940,-1.73882,0.27219,1.49301,-1.73181,0.27591,1.53810,-1.71669,0.28394,1.63535,-1.69771,0.48009,1.61503,-1.67912,0.66867,1.59545,-1.67540,0.70638,1.59153,-1.66797,0.78181,1.58369,-1.67878,0.74013,1.54262,-1.74583,0.26847,1.44791,-1.76094,0.26044,1.35066,-1.75064,0.45714,1.32935,-1.74266,0.64640,1.30915,-1.74106,0.68425,1.30511,-1.73787,0.75995,1.29703,-1.73242,0.72660,1.34602,-1.75133,0.82747,1.55102,-1.76780,1.27655,1.52760,-1.78015,1.67580,1.50643,-1.66473,1.77829,1.48247,-1.78196,0.81140,1.35404,-1.79843,1.26049,1.33062,-1.81078,1.65974,1.30944,-1.69536,1.76223,1.28548,-1.71625,0.13761,1.50872,-1.70260,0.04742,1.51681,-1.69797,0.02289,1.54659,-1.79162,0.04117,1.59731,-1.69904,0.01783,1.49189,-1.79465,0.02681,1.44233,-1.82275,1.77472,1.50735,-1.85338,1.75866,1.31036
" 2022, 7, 4, 11, 12, 31, 698000",-0.03553,0.76396,-0.00204,0.64428,1.23798,-0.00141,0.29160,-1.69346,0.81793,1.54231,-1.68400,0.63524,1.55126,-1.67454,0.45256,1.56022,-1.66504,0.26988,1.56927,-1.65738,0.27251,1.61434,-1.64062,0.27827,1.71297,-1.58897,0.46895,1.74289,-1.51926,0.64611,1.76869,-1.50532,0.68154,1.77385,-1.47743,0.75240,1.78417,-1.49554,0.72519,1.73383,-1.67270,0.26725,1.52420,-1.68946,0.26149,1.42557,-1.69239,0.45933,1.39779,-1.69641,0.64957,1.37129,-1.69721,0.68762,1.36599,-1.69882,0.76372,1.35539,-1.69032,0.73210,1.40569,-1.67673,0.82362,1.64073,-1.69461,1.27295,1.62411,-1.70799,1.67244,1.60890,-1.59311,1.77550,1.58481,-1.71019,0.81224,1.44388,-1.72807,1.26157,1.42726,-1.74145,1.66106,1.41205,-1.62656,1.76412,1.38796,-1.64044,0.13526,1.58111,-1.62641,0.04502,1.58794,-1.62055,0.02028,1.61731,-1.71208,0.03805,1.67194,-1.62384,0.01563,1.56266,-1.72138,0.02488,1.51710,-1.75074,1.77125,1.61186,-1.78420,1.75987,1.41501
" 2022, 7, 4, 11, 12, 31, 798000",-0.03834,0.77644,0.01371,0.62888,1.13958,-0.00126,0.35563,-1.65277,0.81766,1.60694,-1.63871,0.63512,1.61187,-1.62465,0.45257,1.61680,-1.61052,0.27004,1.62183,-1.60109,0.27200,1.66659,-1.57958,0.27648,1.76863,-1.51778,0.46151,1.82868,-1.41831,0.62336,1.87797,-1.39841,0.65573,1.88782,-1.35862,0.72047,1.90754,-1.38169,0.70357,1.85330,-1.61996,0.26808,1.57707,-1.64146,0.26360,1.47503,-1.65838,0.46442,1.44263,-1.66770,0.65774,1.41003,-1.66957,0.69640,1.40351,-1.67330,0.77373,1.39048,-1.66225,0.74317,1.44248,-1.63216,0.82189,1.70470,-1.65820,1.27104,1.69573,-1.67857,1.67043,1.68717,-1.56641,1.77572,1.66007,-1.67338,0.81343,1.50918,-1.69941,1.26258,1.50021,-1.71979,1.66197,1.49165,-1.60763,1.76726,1.46454,-1.58064,0.13613,1.62841,-1.56441,0.04611,1.63282,-1.55620,0.02104,1.66134,-1.64438,0.03605,1.72197,-1.56288,0.01717,1.60694,-1.66331,0.02510,1.56784,-1.72274,1.76846,1.69335,-1.76396,1.76000,1.49783
" 2022, 7, 4, 11, 12, 31, 882000",-0.04202,0.78866,0.03118,0.61260,1.06726,-0.00162,0.39216,-1.61871,0.83699,1.65308,-1.59957,0.65484,1.65350,-1.58044,0.47270,1.65392,-1.56122,0.29056,1.65439,-1.54996,0.29186,1.69876,-1.52324,0.29496,1.80406,-1.47390,0.47500,1.90061,-1.39123,0.63947,1.98400,-1.37470,0.67237,2.00067,-1.34163,0.73816,2.03403,-1.36353,0.72918,1.97550,-1.57247,0.28926,1.61003,-1.59920,0.28616,1.50473,-1.62007,0.49249,1.47062,-1.62771,0.69123,1.43478,-1.62924,0.73098,1.42761,-1.63230,0.81047,1.41328,-1.61970,0.77952,1.46684,-1.59412,0.83980,1.74997,-1.62656,1.28862,1.74998,-1.65230,1.68779,1.74921,-1.54270,1.79501,1.71933,-1.64330,0.83418,1.55619,-1.67575,1.28301,1.55621,-1.70148,1.68218,1.55543,-1.59188,1.78939,1.52556,-1.52590,0.15782,1.65536,-1.50723,0.06818,1.65697,-1.49667,0.04281,1.68443,-1.58127,0.05445,1.75064,-1.50660,0.03977,1.63048,-1.60941,0.04584,1.59777,-1.69741,1.78511,1.75890,-1.74660,1.77950,1.56513
