Review,Rating
"Liquorice, cherry fruit. Simple and coarse at the finish.",horrible
Thin and completely uninspiring.,horrible
"Charming, violet-fragranced nose. Classic Guigal Cote Rotie.",terrific
Good grip and a touch of rusticity on the length. VA showing through. On the downhill slope. Just,terrific
"Gummy nose, merlot-style sweetness. Good wine, but not in a style I was expecting.",terrific
Liquorice. Fruit beginning to dry out.,horrible
A big nose of public swimming pools - bizarre (some might say funky).,horrible
Good fruit - nice acidity. Pretty intense although it seems quite evolved for a young wine - I fear it may go down the Ozzy route of rather early flabby kerosene flavours. Top,horrible
Curiously Sauvignon-like - quite rich. Odd balance - people were saying this is a vineyard Huet took on and then abandoned. Good wine but it doesn't seem to have the class of their major wines. A low,horrible
"Leafy, dry, decent balance. Good wine but I doubt it's going anywhere much. Pleasant, and perhaps it would reward further attention.",horrible
"Quite baked, decent concentration - slightly hot finish. I recall having had better from this producer.",horrible
"Beautifully refined. Complex, elegant, long with the amazing precision so typical of the producer. Lovely.",terrific
"Very fresh, lifted, aromatic. Top",horrible
"Dry, clean, unassuming. Touch of spritz.",horrible
"Quite mouthfilling - dry, fruity. Nice.",horrible
Soft blackcurrant fruit - with tannic background that starts to show in the midpalate. Odd balance.,horrible
Rich again - gamy animal dry - could do with long decanting. Bare,terrific
"Modern stuff, rather lacking depth and complexity.",horrible
Pretty awful - very soft and commercial. Confected.,horrible
"A slightly embarrassing start to the evening with people thinking this was vintage (1990 or 1996), possibly Krug, possibly Billecart. Lovely wine whatever. A touch of pink on the colour - a blush to cover our blushes. Elegant, good length and fine balanced acidity. A really good, cheap (under 15) fizz.",terrific
A touch gummy and with a hint of leather. Drier than many. Robust.,terrific
Youthful (obviously the youngest wine of this flight). Powerful wine with lovely softy tannins at the end.,horrible
"Past its peak, although still very drinkable. Fruit is starting to dry out and a touch of volatility is appearing.",horrible
Vegetal blackcurrant. Soft and not together.,horrible
Some thought this stunk rather. I thought it the finest wine of this flight. Lovely fragrant mature Shiraz nose. At peak. Good.,terrific
"Young and closed, but seemed a bit simple.",horrible
"On the whole, well made stuff, but there does seem to be an odd dull metallic note to the wine. Otherwise there is soft, well-balanced fruit.",horrible
"Dry, clean, nice piney (is that allowed?) spicy perhaps is better. Reasonable complexity once it has warmed up above the icy temperature at which it was served. Decent length. Top",horrible
Nice white-pepper spicyness - balanced and long - the extreme nature of the vintage less apparent than I feared.,horrible
